"App","Architecture Team","Asset Type","CCM Lite","CIS Asset Type","CIS Description","CIS Safeguard","CIS Security Function","CIS Title","CSF Category","CSF Category Identifier","CSF Function","Compute","Control ID","Control Specification","Control Title","Cybersecurity","Data","Description","GRC Team","HR","ISO 27001 Asset Type","ISO 27001 CIS Safeguard","ISO 27001 Description","ISO 27001 Security Function","ISO 27001 Title","IaaS","Internal Audit","Legal/Privacy","Metrics","Network","Objective","Operations","PaaS","Phys","Priority","Process Steps","Responsible Team","SW Development","SaaS","Scope","Security Function","Storage","Supply Chain Management","Title"
"TRUE","FALSE","All enterprise assets","No","All enterprise assets","Ensure that an accurate, detailed, and up-to-date asset inventory is established and maintained.","1.1","Identify","Establish and Maintain an Asset Inventory","Asset Management","ID.AM","Identify (ID)","FALSE","A&A-01","Establish, document, approve, communicate, apply, evaluate and maintain
audit and assurance policies and procedures and standards. Review and update
the policies and procedures at least annually.","Audit and Assurance Policy and Procedures","FALSE","TRUE","Ensure that an accurate, detailed, and up-to-date asset inventory is established and maintained.","TRUE","FALSE","All enterprise assets","1.1","Ensure that an accurate, detailed, and up-to-date asset inventory is established and maintained.","Identify","Establish and Maintain an Asset Inventory","Shared","FALSE","TRUE","['Number of audit findings', 'Frequency of policy updates', 'Compliance rate with audit policies']","FALSE","Establish comprehensive audit and assurance policies.","TRUE","Shared","TRUE","Priority 1","['Define Audit Policies', 'Implement Audit Procedures', 'Regularly Review Policies', 'Update Procedures as Needed']","Audit Team","TRUE","Shared","All organizational audit and assurance activities.","Identify","FALSE","TRUE","Establish and Maintain an Asset Inventory"
"TRUE","FALSE","All enterprise assets","Yes","All enterprise assets","Ensure that a process exists to address unauthorized assets on a weekly basis.","1.2","Protect","Address Unauthorized Assets","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","A&A-02","Conduct independent audit and assurance assessments according to
relevant standards at least annually.","Independent Assessments","FALSE","TRUE","Ensure that a process exists to address unauthorized assets on a weekly basis.","TRUE","FALSE","All enterprise assets","1.2","Ensure that a process exists to address unauthorized assets on a weekly basis.","Protect","Address Unauthorized Assets","Shared","TRUE","FALSE","['Number of assessment findings', 'Frequency of assessments', 'Compliance rate with assessment policies']","TRUE","Conduct independent assessments to ensure compliance.","FALSE","Shared","TRUE","Priority 1","['Define Assessment Policies', 'Implement Assessment Procedures', 'Regularly Conduct Assessments', 'Update Procedures as Needed']","Audit Team","FALSE","Shared","All organizational units.","Protect","TRUE","FALSE","Address Unauthorized Assets"
"TRUE","FALSE","Network devices","Yes","Network devices","Use an active discovery tool to identify devices connected to the organizationÃ¢â‚¬â„¢s network and update the enterprise asset inventory.","1.3","Detect","Use an Active Discovery Tool","","","","TRUE","A&A-03","Perform independent audit and assurance assessments according to
risk-based plans and policies.","Risk Based Planning Assessment","FALSE","TRUE","Use an active discovery tool to identify devices connected to the organizationâ€™s network and update the enterprise asset inventory.","TRUE","FALSE","Network devices","1.3","Use an active discovery tool to identify devices connected to the organizationâ€™s network and update the enterprise asset inventory.","Detect","Use an Active Discovery Tool","Shared","TRUE","FALSE","['Number of risk findings', 'Frequency of risk assessments', 'Compliance rate with risk policies']","TRUE","Conduct risk-based planning assessments.","FALSE","Shared","TRUE","Priority 1","['Define Risk-Based Planning Policies', 'Implement Planning Procedures', 'Regularly Conduct Risk Assessments', 'Update Procedures as Needed']","Audit Team","FALSE","Shared","All organizational units.","Detect","TRUE","FALSE","Use an Active Discovery Tool"
"TRUE","FALSE","Network devices","Yes","Network devices","Use a passive discovery tool to identify devices connected to the organizationÃ¢â‚¬â„¢s network and update the enterprise asset inventory.","1.4","Detect","Use a Passive Asset Discovery Tool","","","","TRUE","A&A-04","Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.","Requirements Compliance","FALSE","TRUE","Use a passive discovery tool to identify devices connected to the organizationâ€™s network and update the enterprise asset inventory.","TRUE","FALSE","Network devices","1.4","Use a passive discovery tool to identify devices connected to the organizationâ€™s network and update the enterprise asset inventory.","Detect","Use a Passive Asset Discovery Tool","Shared","TRUE","FALSE","['Number of compliance findings', 'Frequency of compliance reviews', 'Compliance rate with requirements']","TRUE","Ensure compliance with requirements.","FALSE","Shared","TRUE","Priority 1","['Define Compliance Policies', 'Implement Compliance Procedures', 'Regularly Review Compliance', 'Update Procedures as Needed']","Audit Team","FALSE","Shared","All organizational units.","Detect","TRUE","FALSE","Use a Passive Asset Discovery Tool"
"TRUE","TRUE","IT systems","No","IT systems","Develop, document, and maintain a secure configuration process for all enterprise assets.","2.1","Protect","Establish and Maintain a Secure Configuration Process","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","A&A-05","Define and implement an Audit Management process to support audit
planning, risk analysis, security control assessment, conclusion, remediation
schedules, report generation, and review of past reports and supporting evidence.","Audit Management Process","TRUE","TRUE","Develop, document, and maintain a secure configuration process for all enterprise assets.","TRUE","TRUE","IT systems","2.1","Develop, document, and maintain a secure configuration process for all enterprise assets.","Protect","Establish and Maintain a Secure Configuration Process","Shared","TRUE","TRUE","['Number of audit process findings', 'Frequency of audit reviews', 'Compliance rate with audit management policies']","TRUE","Manage audit processes effectively.","TRUE","Shared","TRUE","Priority 1","['Define Audit Management Policies', 'Implement Management Procedures', 'Regularly Review Audit Processes', 'Update Procedures as Needed']","Audit Team","TRUE","Shared","All organizational audit activities.","Protect","TRUE","TRUE","Establish and Maintain a Secure Configuration Process"
"TRUE","TRUE","Network devices","Yes","Network devices","Establish and maintain secure configurations for network devices, ensuring they are documented and monitored for compliance.","2.2","Protect","Establish and Maintain Secure Configurations for Network Devices","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","A&A-06","Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, review and
report remediation status to relevant stakeholders.","Remediation","TRUE","TRUE","Establish and maintain secure configurations for network devices, ensuring they are documented and monitored for compliance.","FALSE","FALSE","Network devices","2.2","Establish and maintain secure configurations for network devices, ensuring they are documented and monitored for compliance.","Protect","Establish and Maintain Secure Configurations for Network Devices","Shared","TRUE","FALSE","['Number of remediated findings', 'Frequency of remediation reviews', 'Compliance rate with remediation policies']","TRUE","Ensure effective remediation of audit findings.","TRUE","Shared","TRUE","Priority 1","['Define Remediation Policies', 'Implement Remediation Procedures', 'Regularly Review Remediation Activities', 'Update Procedures as Needed']","Audit Team","TRUE","Shared","All organizational units.","Protect","TRUE","TRUE","Establish and Maintain Secure Configurations for Network Devices"
"TRUE","TRUE","IT systems","No","IT systems","Establish a process to manage configuration changes to the secure configurations, ensuring all changes are reviewed and approved.","2.3","Protect","Manage Configuration Changes","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-01","Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for application security to provide guidance to the
appropriate planning, delivery and support of the organization's application
security capabilities. Review and update the policies and procedures at least
annually.","Application and Interface Security Policy and Procedures","TRUE","TRUE","Establish a process to manage configuration changes to the secure configurations, ensuring all changes are reviewed and approved.","TRUE","TRUE","IT systems","2.3","Establish a process to manage configuration changes to the secure configurations, ensuring all changes are reviewed and approved.","Protect","Manage Configuration Changes","Shared","TRUE","TRUE","['Number of transmission integrity breaches', 'Frequency of policy updates', 'Compliance rate with data transmission policies']","TRUE","Ensure the integrity of data in transit.","TRUE","Shared","TRUE","Priority 3","['Define Data Transmission Policies', 'Implement Secure Transmission Protocols', 'Regularly Monitor Transmission Integrity', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All data transmission within the organization.","Protect","TRUE","TRUE","Manage Configuration Changes"
"TRUE","TRUE","Software","Yes","Software","Utilize application whitelisting technology to ensure that only authorized software can run or be installed on enterprise assets.","2.4","Protect","Utilize Application Whitelisting","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-02","Establish, document and maintain baseline requirements for securing
different applications.","Application Security Baseline Requirements","TRUE","TRUE","Utilize application whitelisting technology to ensure that only authorized software can run or be installed on enterprise assets.","TRUE","FALSE","Software","2.4","Utilize application whitelisting technology to ensure that only authorized software can run or be installed on enterprise assets.","Protect","Utilize Application Whitelisting","Shared","TRUE","FALSE","['Number of data breaches at rest', 'Frequency of policy updates', 'Compliance rate with data storage policies']","TRUE","Protect data at rest.","TRUE","Shared","TRUE","Priority 3","['Define Data Storage Policies', 'Implement Data Encryption at Rest', 'Regularly Monitor Data Storage', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All stored data within the organization.","Protect","TRUE","TRUE","Utilize Application Whitelisting"
"TRUE","TRUE","IT systems","No","IT systems","Develop secure configuration baselines for all IT systems, and regularly assess configurations against these baselines.","3.1","Protect","Establish Secure Configurations","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-03","Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.","Application Security Metrics","TRUE","TRUE","Develop secure configuration baselines for all IT systems, and regularly assess configurations against these baselines.","TRUE","FALSE","IT systems","3.1","Develop secure configuration baselines for all IT systems, and regularly assess configurations against these baselines.","Protect","Establish Secure Configurations","Shared","TRUE","FALSE","['Number of key management incidents', 'Frequency of policy updates', 'Compliance rate with key management policies']","TRUE","Manage cryptographic keys.","TRUE","Shared","TRUE","Priority 3","['Define Key Management Policies', 'Implement Key Management Tools', 'Regularly Monitor Key Usage', 'Update Policies as Needed']","IT Security Team","TRUE","Shared","All cryptographic keys used within the organization.","Protect","TRUE","TRUE","Establish Secure Configurations"
"TRUE","TRUE","IT systems","Yes","IT systems","Implement automated configuration management tools that continuously monitor and verify the security configuration of enterprise assets.","3.2","Protect","Implement Automated Configuration Management Tools","Identity Management, Authentication, and Access Control","PR.AA","Protect (PR)","TRUE","AIS-04","Define and implement a SDLC process for application design, development,
deployment, and operation in accordance with security requirements defined by
the organization.","Secure Application Design and Development","TRUE","TRUE","Implement automated configuration management tools that continuously monitor and verify the security configuration of enterprise assets.","TRUE","TRUE","IT systems","3.2","Implement automated configuration management tools that continuously monitor and verify the security configuration of enterprise assets.","Protect","Implement Automated Configuration Management Tools","Shared","TRUE","FALSE","['Number of data integrity incidents', 'Frequency of policy updates', 'Compliance rate with data integrity policies']","TRUE","Ensure data integrity.","TRUE","Shared","TRUE","Priority 3","['Define Data Integrity Policies', 'Implement Data Integrity Checks', 'Regularly Monitor Data Integrity', 'Update Policies as Needed']","IT Security Team","TRUE","CSP-Owned","All data within the organization.","Protect","TRUE","TRUE","Implement Automated Configuration Management Tools"
