Task ID,Task Name,Start Date,End Date,Duration (days),Dependency
1,Project Initiation,2024-08-01,2024-08-05,5,
2,Requirements Gathering,2024-08-06,2024-08-12,7,1
3,Design Phase,2024-08-13,2024-08-20,8,2
4,Development Phase 1,2024-08-21,2024-09-10,21,3
5,Development Phase 2,2024-09-11,2024-09-30,20,3
6,Testing Phase 1,2024-10-01,2024-10-15,15,4
7,Testing Phase 2,2024-10-16,2024-10-30,15,5
8,User Acceptance Testing (UAT),2024-11-01,2024-11-10,10,"6,7"
9,Deployment,2024-11-11,2024-11-15,5,8
10,Project Closure,2024-11-16,2024-11-20,5,9
